"","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"BEAG",9.53075584203549,9.58669205557553,9.63458506023442,9.68901903277598,9.75175500900518,9.80586421263161,9.85588703245975,9.91827168997989,9.98506647035716,10.1117514872791,10.1613164404892,10.3381948768543,10.4057958473141,10.5185976533196,10.6051500725359,10.7277814623735,10.8356114121632,10.9359273094795,10.9364976180578,10.8697656713436,10.7658558619283,10.8429010101737,10.9744976802917,10.9669611156657,11.0260657303674,11.1087855399833,11.0912338653218,11.2532801158636,11.2601241097104,11.4259162957566,11.4024737107689,11.3500692527344,11.5301848719578,11.4561324976711,11.6211862330553,11.7564130255033,11.6387010015015,11.7107370300247,11.7803268850773,11.9313364144349,11.9698570150389,12.0280276647213,12.2222766703211,12.310939118283,12.4346678436011,12.5554830731424,12.4925565099171,12.48717309902,12.4209370175445,12.3613831417892,12.358655400208
"BEAN",4.03303290178443,4.08899606027066,4.14122012076329,4.19683824943135,4.25400522361581,4.31099286987168,4.36760702311699,4.43100935495301,4.4939805356843,4.60958129495368,4.65679104826913,4.8312910279708,4.89715000781307,5.01356658897271,5.10820052881041,5.23365596470454,5.33919634733432,5.4413620452439,5.44801220057113,5.38696838880637,5.28308486555456,5.36110428412042,5.49510297368478,5.48288895708396,5.54016739626334,5.62451759201417,5.60437434760638,5.76578986125916,5.77772511279909,5.94005094567607,5.91331833230338,5.86446144934141,6.0421864951983,5.96353531019086,6.13245237113223,6.20196599611127,6.11806160031704,6.21649560441638,6.30647921634352,6.63914152905014,6.85475063785813,6.8098175943865,6.90128276749924,6.89674592008562,6.9122601556289,6.92084665436133,6.86245628687006,6.85288080651832,6.78461492526957,6.72663243470873,6.73032370238277
"BEAU",9.67440061663204,9.73456531429079,9.79075374408474,9.84527320392265,9.90532842551848,9.96395023324745,10.018799730208,10.0837871686071,10.1506120100452,10.2685588461996,10.3194492106966,10.4923878403321,10.5259622402224,10.6071506019214,10.5189156432798,10.6057472607003,10.8630219879737,10.7446125851235,10.6824638289985,10.6461251261679,10.2598298359323,10.5231626494,10.4966571173013,10.3257066408511,10.2182586266374,10.1399850848363,9.96454071488374,10.0472064751968,9.97290582105069,10.2090569858387,10.2571576793066,10.2784998952073,10.5343079166746,10.5355630675735,10.7697747278941,10.8705892512101,10.7758364521424,10.7563640314493,10.7337172330671,10.9549827737588,11.0603196357008,11.0347418922909,11.1478725941355,11.1633250888031,11.1820823837228,11.1928714731445,11.1311482746788,11.1241202100773,11.0536315073973,10.9893199632504,10.99579428346
"BECH",6.24657779623894,6.30381808924734,6.3622440435081,6.41213066247046,6.46985455992265,6.52312682056196,6.5764035666484,6.64315134440498,6.70828251005402,6.83480755668922,6.88523163199387,7.05314102329482,7.12061754153456,7.23798178745934,7.32598338557323,7.45212877958922,7.56061164577788,7.65978365436252,7.66360639471147,7.5942379937333,7.48932109257671,7.50786300031772,7.30754877331531,7.44176877608167,7.45842238934776,7.50226353220546,7.53277261999696,7.5669485255873,7.53700581248777,7.51741551580429,7.57039032745777,7.69563261333837,7.81358659545322,7.6783275836137,7.78431606551119,7.858686573802,7.68233513920068,7.68953299526386,7.69407372967923,7.78595987104623,7.76688723800255,7.70653582030735,7.78865772056914,7.76887024576968,7.78111003968476,7.79311314279612,7.7321639369579,7.72276699576383,7.65806600137706,7.59004561154915,7.59228935518573
"BENT",1.57325730533977,1.62992826135817,1.68408784519294,1.73491440405287,1.78929563371047,1.84468709340187,1.89805687149998,1.96428568285293,2.03256173656982,2.15677191433385,2.20685111318841,2.38481796521062,2.25550413256062,2.096978975303,1.89456928383365,1.81629727835631,1.72038660843814,1.62516731354824,1.43038943068114,1.17007051688321,0.91642335896921,0.847823701297873,0.979898625037732,0.973145098641371,1.02914165504881,1.11257819132038,1.0798770775727,1.64685301438424,2.08296161567563,2.51210013005485,2.496602242884,2.52782645510973,2.9202959235231,3.07109071525188,3.17013129028074,3.24427453988393,3.07146849374212,3.08698562047806,3.1014113801168,3.19148519037967,3.16572475296612,3.10301021361423,3.18664671534969,3.17072549538196,3.18447069862985,3.19578994126773,3.13280081655446,3.12970502327782,3.064422266255,3.00059074820248,3.00407696493294
"BERK",7.57612510840323,7.63372363122513,7.69458163010612,7.75564688427649,7.82102504274072,7.87054043347643,7.92842744918524,7.99801936598361,8.07335863989996,8.19938892693471,8.23026630730172,8.3874762703022,8.43369345910437,8.52830879204968,8.60101174499938,8.70737178840993,8.79187914000938,8.87578603629044,8.85868913518945,8.7786243297112,8.65750548840354,8.71805222736235,8.82988241519205,8.80369865818355,8.84006252953033,8.89804754225235,8.8597011985173,9.00273365113032,8.99209071860493,9.137404339105,9.10222393141152,9.03319951962016,9.19417562846487,9.10283080803772,9.25303929580534,9.36651582651291,9.2292475978061,9.2788566838453,9.32488104089659,9.45993318025837,9.4760044876748,9.42471662322546,9.50383029133607,9.48653376863568,9.50189247845371,9.51769114564784,9.45738692672464,9.45513940361293,9.38768781010687,9.32951367268854,9.3263184298349
"BERT",5.98801182738821,6.0364552963243,6.08619060951299,6.14037954147237,6.19327553018855,6.24383686156014,6.29637185512381,6.35648555831397,6.41906579129712,6.53541790505869,6.57794823434968,6.74738444881603,6.80715414494,6.83625754065604,6.83746260886902,6.88067905279657,6.90285623847005,6.91883773606109,6.83906868442977,6.69222664789468,6.5075189020585,6.50550552581137,6.54875792197665,6.44886630452279,6.41530205870108,6.4116126402155,6.30297913065185,6.37694820725539,6.29858958321219,6.37823841172213,6.27275274129579,6.13639978000143,6.22909765773163,6.07312958223241,6.15870938611431,6.19759091222455,5.99547234778415,5.94407297210998,5.8935030855914,5.92902788222542,5.84657116413729,5.72613242893978,5.74676461023267,5.72230911072062,5.73224277248847,5.74017598848771,5.67143799460629,5.6649790171403,5.58949616083618,5.52013970938965,5.5137792631162
"BIEN",8.30065183858399,8.35638553779535,8.41040142494216,8.46739248152724,8.52337081240032,8.57748263534204,8.63295855099061,8.70264593021491,8.76629783091004,8.89148377971477,8.94376025168391,9.11816808843174,9.18548621663565,9.29962089844817,9.38937813745473,9.47900105429524,9.55674712351184,9.62901217711129,9.60262585683538,9.50835054890618,9.37398384975303,9.42106843287223,9.52067026140854,9.47358945639843,9.49728725153931,9.54580742462896,9.48973480289489,9.61959153078343,9.6365986408937,9.80644256546149,9.78492770498078,9.7382190752735,9.91959506183411,9.84813028824317,10.0157419513402,10.151383460476,10.035306341839,10.1020461078763,10.1668485008259,10.3196985861172,10.3619857158314,10.3043961386531,10.3864317962192,10.3691456967131,10.3855230581415,10.3989296245657,10.3402542435531,10.3325849200148,10.2619063894454,10.1957747224316,10.2015342558037
"BISC",7.19779691323409,7.25281678990371,7.30140692453606,7.34873436351356,7.40016559547886,7.4439676632637,7.49508473593334,7.55276323667391,7.61616214432456,7.73329447899971,7.77357201770435,7.9403636311317,7.99763093532483,8.1018607834963,7.923087056899,7.96720467030607,8.01186951781351,8.03229928476901,7.95797501434247,7.81572803731573,7.63695255463914,7.63770365038038,7.69233547314628,7.60867841412931,7.5897065950252,7.5966566421906,7.49584559729626,7.51732776973978,7.38923016454405,7.41676768608898,7.19259109444315,6.54845158011994,6.92903682501402,6.72352764341596,6.75220515213144,6.75086416188408,6.50472897310606,6.44148839169691,6.37215307198806,6.38782562094881,6.29146453337768,6.33812205931385,6.25927110322056,6.23082218535169,6.24116041727349,6.24474657148977,6.17435756988259,6.15507380519458,6.08398237455063,6.01310773354383,6.00866399493635
"BOLI",5.35924383448304,5.41745034300133,5.47259803003738,5.52180069779602,5.57680348883094,5.61926736922571,5.6736288319842,5.73521903964609,5.79635403427618,5.91748274591923,5.9683301249718,6.14264571519164,6.15184251625592,6.2066625438718,6.23879945381186,6.30445060321948,6.35965804027331,6.40029769136871,6.34713724506172,6.22443082697745,6.0551185074846,6.07543708700357,6.14960314489497,6.08007049488906,6.07297060520253,6.09575897780113,6.01548803172395,6.11704372736271,6.06719486156973,6.17174500367544,6.08864914860102,5.97509834829862,6.08920832882589,5.95173255965419,6.05945317984081,6.13373922189436,5.95856129242816,5.96946923416342,5.97685640748445,6.06835876650915,6.04668720811798,5.98739559884586,6.06405061760092,6.04311077305238,6.05659476823616,6.06562659696075,6.00104271443682,5.99401208808035,5.92510165128931,5.86508724414993,5.85914788338958
